id,time,description,mcc,originalMcc,amount,operationAmount,currencyCode,commissionRate,cashbackAmount,balance,hold,receiptId
fLDkJYzVD4ahGjt-,1588278651,WOG,5541,5541,-84670,-84670,980,0,0,50837,false,0H52-0BA3-AEBT-0M04
JwCljtNfti1qCB2C,1588262326,WOG,5541,5541,-4450,-4450,980,0,0,135507,false,TKBH-K367-X92A-BP65
_EOZr4R-_mU2z1pQ,1588233278,Сільпо,5411,5411,-13151,-13151,980,0,131,139957,false,8504-ET40-44PT-97M5
bEKiSUT-K70Y7bu7,1588232173,WOG,5541,5541,-64975,-64975,980,0,0,153108,false,A85X-XM3C-0591-1XEH
Ociwx8Ipys-DkMqQ,1588190637,АТБ,5499,5499,-5940,-5940,980,0,59,218083,false,0943-1CX4-0023-XAE1
jAAjLl5aP8lv1Ql2,1588157119,Сільпо,5411,5411,-17248,-17248,980,0,172,224023,false,872K-12CB-C0B5-78KK
zhmBpR43vjcPWA6u,1588102001,"Lifecell
+380938341621",4814,4814,-16000,-16000,980,0,0,241271,true,7TPE-123T-T99B-6419
eDiUi2odkKmkuOsX,1588094768,WOG,5541,5541,-6600,-6600,980,0,0,257271,false,C9T2-073H-38BH-6P31
8OPsEgNqn6CDy8Hp,1588081660,АТБ,5499,5499,-29950,-29950,980,0,299,263871,false,207E-0PP5-X5TB-M585
b1bt6zaszQNCymAF,1588079751,MIROVAJA APTEKA N3,5912,5912,-1900,-1900,980,0,19,293821,false,H14K-BHCE-8A30-77T0
XGc1Mp3wsKcEQGxX,1588078958,AVTOMAGAZUN,5331,5331,-87000,-87000,980,0,870,295721,false,74MX-2THE-035K-09HA
ySubBla1ENRXpcXE,1588054465,"Киевстар
+380982735967",4814,4814,-12000,-12000,980,0,0,382721,true,BT31-6XTX-EX24-1XB8
6w3gj_SJ-GvnotZe,1588044651,WOG,5541,5541,-80470,-80470,980,0,0,394721,false,C984-5E02-8X02-A3PA
BjZlnP9i-IsbWdc9,1588037635,WOG,5541,5541,-9650,-9650,980,0,0,475191,false,P1KP-CXH2-4M8P-7M10
8ByarFO30Byn_Q8R,1588015386,Гранд,5499,5499,-6000,-6000,980,0,60,484841,false,199M-76HK-3013-47K3
n_1ACS39qlK6RpZR,1587980186,ГРОШ,5411,5411,-12462,-12462,980,0,124,490841,false,4MP2-PPK8-XC38-P241
ZS_JMTlWDHyUuovr,1587909819,APTEKAPHARMAVIN,5912,5912,-6000,-6000,980,0,60,503303,false,9P87-KBX1-AEMT-BTPK
_3gYNEavAZl7XKrJ,1587909387,Beer Market,5921,5921,-2599,-2599,980,0,25,509303,false,1MKX-XXBM-3682-15X8
MMVdB7jLhalpNPxS,1587907978,Епіцентр,5211,5211,-66094,-66094,980,0,0,511902,false,M489-388B-TC23-5C94
kinsCsuVcHZX6HmM,1587815093,Apteka100PHarmavin,5912,5912,-2065,-2065,980,0,20,577996,false,E80T-3A8K-4KTP-H8BB
